name,retailers_per_1000,age
Brooklyn 16,0.3506065493303414,9.411764705882353
Brooklyn 5,0.3535363594717868,9.0625
Bronx 9,0.3734918237768143,8.571428571428571
Brooklyn 8,0.4189203027397388,8.3125
Manhattan 12,0.4193844423173704,9.430769230769231
Bronx 1&2,0.6148296921752674,9.655361757105943
Bronx 5,0.6183160901522277,8.046875
Manhattan 10,0.446194036832598,9.0
Bronx 4,0.5724630940199074,8.875
Brooklyn 3,0.5709820891934126,8.475
Brooklyn 9,0.4569169792474683,9.707317073170731
Manhattan 11,0.5533171754327174,8.737704918032787
Bronx 3&6,0.6331660670327589,10.287019230769232
Brooklyn 4,1.0061107992756002,7.75
Queens 12,0.5198301082374939,8.636363636363637
Manhattan 9,0.5292955643141369,10.19047619047619
Brooklyn 2,0.6250597483582989,10.929824561403509
Brooklyn 1,0.8879664498459432,10.479338842975206
Brooklyn 11,0.65612884,10.707070707070708
Brooklyn 15,0.6251233796143976,10.544117647058824
Brooklyn 17,0.4171336072718217,8.074074074074074
Brooklyn 14,0.5120126033871603,10.736842105263158
Bronx 8,0.5499541704857929,10.078947368421053
Bronx 12,0.5982183496976397,9.067567567567568
Bronx 7,0.6798610061942891,9.320987654320987
Brooklyn 7,0.6005081222572946,11.285714285714286
Queens 13,0.412747713,8.366666666666667
Manhattan 3,1.149611741555996,9.247619047619047
Bronx 11,0.7138255828124729,10.544117647058824
Manhattan 7,0.4978214803360515,12.185185185185185
Brooklyn 10,0.93405086721053,11.5
Brooklyn 13,0.4603203829865586,11.857142857142858
Queens 9,0.7336057456001995,9.712328767123287
Manhattan 5&6,2.310351796121012,12.382241040746196
Queens 14,0.4580309407797582,9.254901960784315
Brooklyn 18,0.4844961240310077,9.64179104477612
Manhattan 8,0.7102307041913275,11.196078431372548
Manhattan 1&2,1.871202264221808,11.643372252747252
Bronx 10,0.7449061564302928,11.298507462686567
Brooklyn 12,0.4232682580159692,11.474576271186441
Queens 3,0.6454150941076675,11.256410256410257
Queens 11,0.4903079641229828,8.972222222222221
Brooklyn 6,0.917261187806912,11.787878787878787
Staten Island 2,0.7697277088230039,9.158730158730158
Queens 5,1.0284558389017684,9.453900709219859
Manhattan 4,1.8386598212858185,10.590551181102363
Queens 1,1.106625638709313,11.26865671641791
Queens 4,0.6976715212976691,9.532608695652174
Staten Island 1,0.8886191725004876,9.724137931034482
Queens 2,1.000587646713149,10.35632183908046
Queens 7,0.5995519564433606,11.47
Queens 6,0.6454522831902452,10.566037735849056
Queens 10,0.7902566009669021,10.352941176470589
Queens 8,0.6349420784221014,11.152542372881356
Staten Island 3,0.7077624153323689,10.777777777777779
